incident_id,title,service,impact,start_time,end_time,rto_hours,status,description
INC001,Database outage,Payments,High,2026-04-01 10:00,2026-04-01 15:30,4,Resolved,Primary DB unavailable
INC002,API latency spike,Transfers,Medium,2026-04-02 09:00,2026-04-02 10:30,2,Resolved,External provider delay
INC003,Auth service down,Login,High,2026-04-03 08:00,2026-04-03 13:30,4,Resolved,Users unable to log in
INC004,Minor UI glitch,Frontend,Low,2026-04-03 12:00,2026-04-03 13:00,4,Resolved,CSS issue on homepage
INC005,Payment queue stuck,Payments,High,2026-04-04 14:00,2026-04-04 18:30,4,Resolved,Queue backlog caused delays
INC006,Network degradation,Infrastructure,Medium,2026-04-05 10:00,2026-04-05 13:30,3,Resolved,Packet loss observed
INC007,Core banking outage,Banking,High,2026-04-06 02:00,2026-04-06 08:30,4,Resolved,Full service disruption
INC008,Reporting delay,Analytics,Low,2026-04-06 09:00,2026-04-06 12:00,6,Resolved,ETL job slow
INC009,Partial API failure,Transfers,High,2026-04-07 11:00,2026-04-07 15:00,4,Resolved,Intermittent errors
INC010,Database failover test,Payments,Medium,2026-04-08 01:00,2026-04-08 05:00,4,Resolved,Planned test
INC011,Unknown outage,Banking,High,2026-04-09 03:00,,4,Open,Investigation ongoing
INC012,Edge case exact RTO,Payments,High,2026-04-10 10:00,2026-04-10 14:00,4,Resolved,Exactly at RTO limit
